model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
logistic_regression,0.5289,0.0835,0.5644,0.0640,0.6754,0.1196,0.6136,0.0852,0.5411,0.1018,0.4098,0.4706,0.4706,0.4706,0.4357
random_forest,0.5037,0.0557,0.5469,0.0405,0.6463,0.0915,0.5917,0.0623,0.4742,0.0601,0.5738,0.5870,0.7941,0.6750,0.5381
xgboost,0.5126,0.0790,0.5642,0.0728,0.5656,0.0880,0.5646,0.0799,0.4827,0.0910,0.5902,0.6286,0.6471,0.6377,0.6078
neural_network,0.5414,0.0681,0.5832,0.0699,0.6830,0.0971,0.6246,0.0598,0.5311,0.1253,0.5574,0.6000,0.6176,0.6087,0.4978
